title,popularity,release_date,vote_average,vote_count
The Help,47.843,2011-08-09,8.2,8278
Coco,236.429,2017-10-27,8.209,19514
Woman in the Dunes,18.276,1964-02-15,8.2,443
Star Wars,98.77,1977-05-25,8.2,20620
The Prestige,62.884,2006-10-17,8.203,16031
Shutter Island,89.096,2010-02-14,8.202,23965
Maquia: When the Promised Flower Blooms,35.437,2018-02-24,8.2,629
The Count of Monte-Cristo,447.262,2024-06-28,8.2,947
The Apartment,38.507,1960-06-21,8.199,2297
Top Gun: Maverick,244.328,2022-05-21,8.197,9243
Hacksaw Ridge,116.001,2016-10-07,8.2,13730
Violet Evergarden: Eternity and the Auto Memory Doll,18.23,2019-09-06,8.2,364
Bicycle Thieves,18.299,1948-07-21,8.194,2398
A Clockwork Orange,44.568,1971-12-19,8.2,12844
The Seventh Seal,22.358,1957-02-16,8.19,2983
The Art of Racing in the Rain,36.719,2019-08-08,8.2,1480
Doctor Who: The Day of the Doctor,14.116,2013-11-23,8.2,746
Michael Jackson's Thriller,14.657,1983-11-14,8.182,680
Django Unchained,77.463,2012-12-25,8.182,26235
My Mom Is a Character 3,6.733,2019-12-26,8.2,472
Memento,42.743,2000-10-11,8.18,14852
The Usual Suspects,61.982,1995-07-19,8.179,10369
Hamilton,30.488,2020-07-03,8.178,1415
Tokyo Story,16.364,1953-11-03,8.18,1061
Persona,21.767,1966-10-18,8.2,2143
Investigation of a Citizen Above Suspicion,10.166,1970-10-16,8.173,774
The Kid,21.665,1921-01-21,8.2,2098
My Hero Academia: Heroes Rising,31.038,2019-12-20,8.168,1165
Jujutsu Kaisen 0,58.057,2021-12-24,8.167,1403
Vertigo,34.149,1958-05-28,8.165,5732
Scarface,83.162,1983-12-09,8.165,11827
Silenced,17.758,2011-09-22,8.162,631
The Departed,58.737,2006-10-04,8.161,14877
Green Snake,22.565,2021-07-23,8.16,304
Alien,172.78,1979-05-25,8.159,14780
Casablanca,55.019,1943-01-15,8.159,5444
Good Will Hunting,74.403,1997-12-05,8.157,12361
Capernaum,19.858,2018-09-20,8.156,1704
20th Century Girl,84.413,2022-10-06,8.156,693
Togo,49.431,2019-12-20,8.2,2007
Singin' in the Rain,22.387,1952-04-09,8.152,3130
Dune: Part Two,235.466,2024-02-27,8.15,5691
Stalker,19.788,1979-05-25,8.15,2165
Steven Universe: The Movie,19.209,2019-10-07,8.148,779
The Shop Around the Corner,35.83,1940-01-12,8.148,720
8½,17.148,1963-02-14,8.149,2271
There's Still Tomorrow,22.706,2023-10-26,8.1,1234
Joker,143.735,2019-10-01,8.145,25775
Piper,8.217,2016-06-16,8.1,1623
The Truman Show,99.204,1998-06-04,8.144,18338
Scenes from a Marriage,9.919,1974-09-15,8.1,347
Innocent Voices,20.958,2005-01-28,8.1,481
Taxi Driver,50.684,1976-02-09,8.141,12245
Bound by Honor,49.165,1993-02-05,8.141,1333
Zack Snyder's Justice League,137.498,2021-03-18,8.138,9982
Wild Strawberries,17.133,1957-08-28,8.1,1628
My Friends,12.292,1975-10-24,8.1,695
Palmer,79.643,2021-01-28,8.131,1607
