title,popularity,release_date,vote_average,vote_count
Hud,8.329,1963-05-28,7.3,306
Lagaan: Once Upon a Time in India,17.043,2001-06-15,7.252,566
The Passenger,7.228,1975-02-28,7.3,482
Of Mice and Men,12.776,1992-09-16,7.252,638
West Side Story,18.013,1961-12-13,7.254,1869
It Ends with Us,218.681,2024-08-07,7.2,1108
The Last Kingdom: Seven Kings Must Die,30.61,2023-04-14,7.3,682
Marrowbone,28.333,2017-10-27,7.251,1574
The Message,13.343,1976-03-09,7.251,347
My Name Is Nobody,13.937,1973-12-13,7.251,931
The Boondock Saints,17.897,1999-01-22,7.3,2386
The Salesman,8.234,2016-06-24,7.2,851
Race,10.766,2016-02-19,7.25,1523
Tyrannosaur,8.889,2011-10-07,7.2,448
The Vow,31.357,2012-02-05,7.249,4037
Naruto Shippuden the Movie: Bonds,31.893,2008-08-02,7.249,474
Superbad,69.755,2007-03-20,7.249,7274
Everything Is Illuminated,8.999,2005-09-05,7.249,750
Dracula,20.813,1958-05-22,7.2,600
Roma,7.632,1972-03-16,7.248,318
Mavka: The Forest Song,88.568,2023-03-02,7.25,731
Queen of Katwe,7.575,2016-09-23,7.247,425
Fast Five,9.774,2011-04-20,7.247,8154
Blazing Saddles,33.323,1974-02-07,7.2,1852
Tell No One,14.496,2006-11-01,7.247,1388
"Planes, Trains and Automobiles",37.276,1987-11-26,7.247,1898
Man on the Moon,19.115,1999-12-22,7.2,1765
Fallen Leaves,15.534,2023-09-14,7.2,522
The Wandering Earth II,47.455,2023-01-22,7.251,568
"Everything, Everything",18.077,2017-05-18,7.2,3678
The Shape of Water,31.648,2017-12-01,7.246,12106
Batman: Year One,16.693,2011-09-27,7.247,948
The Painted Veil,18.07,2006-12-09,7.247,1158
The Last Temptation of Christ,20.559,1988-05-28,7.249,1058
Frequency,37.447,2000-04-28,7.246,1767
The Last Metro,9.451,1980-09-17,7.246,476
Frozen,138.026,2013-11-20,7.245,16501
Skyfall,77.505,2012-10-24,7.246,15157
Despicable Me,143.122,2010-07-08,7.245,15060
Radio,22.128,2003-10-24,7.245,720
A Christmas Story,40.774,1983-11-18,7.247,1241
The Past,8.234,2013-05-17,7.2,550
In the House,23.477,2012-09-26,7.244,825
The Boat That Rocked,39.723,2009-04-01,7.244,2084
Fist of Fury,26.436,1972-03-22,7.2,942
Infernal Affairs II,16.562,2003-10-01,7.2,408
She Said,12.648,2022-11-17,7.243,579
Suffragette,14.278,2015-10-16,7.243,1602
Conspiracy,27.083,2001-05-19,7.2,406
Blood Simple,16.573,1984-03-26,7.2,1410
Masculin Féminin,17.83,1966-03-22,7.2,381
The City of Lost Children,14.008,1995-05-17,7.243,1085
The Wonderful Story of Henry Sugar,19.924,2023-09-20,7.241,997
Teenage Mutant Ninja Turtles: Mutant Mayhem,55.728,2023-07-31,7.242,1300
#Alive,34.776,2020-06-24,7.241,1818
It,102.088,2017-09-06,7.241,19036
Malicious,63.341,1973-03-29,7.244,308
The Sword in the Stone,35.189,1963-12-25,7.24,3795
Jumanji,16.9,1995-12-15,7.2,10499
Driving Miss Daisy,14.489,1989-12-13,7.2,1581
Upgraded,64.033,2024-02-07,7.243,818
Happening,15.1,2021-11-04,7.2,419
The Last Song,31.93,2010-03-31,7.24,3299
Saw X,48.972,2023-09-27,7.239,1950
Last Christmas,99.852,2019-11-07,7.239,2356
Z-O-M-B-I-E-S,18.267,2018-02-16,7.239,681
Alita: Battle Angel,89.979,2019-01-31,7.24,9128
Ida,14.368,2013-10-25,7.2,965
Begin Again,37.391,2013-09-07,7.239,3750
The Public Enemy,11.336,1931-04-23,7.2,342
The Professional,16.066,1981-10-21,7.2,528
Freeheld,14.934,2015-10-02,7.238,640
Secret of the Wings,39.704,2012-08-17,7.2,1237
La Bamba,21.105,1987-07-24,7.238,707
The Wing or the Thigh?,12.592,1976-10-27,7.2,864
Zatoichi,10.906,2003-09-06,7.2,850
Barbie as the Island Princess,22.067,2007-09-17,7.2,723
Headhunters,13.794,2011-08-26,7.2,1233
Milk,13.801,2008-11-05,7.2,2181
The Orphanage,30.618,2007-05-20,7.2,2860
Big Time Adolescence,12.388,2020-03-13,7.2,335
The Miracle Season,10.618,2018-04-13,7.2,302
National Lampoon's Christmas Vacation,146.427,1989-11-30,7.235,2350
Alien: Romulus,1062.919,2024-08-13,7.2,2578
Hocus Pocus 2,60.238,2022-09-27,7.234,1661
The Ten Commandments: The Movie,27.593,2016-01-28,7.2,305
Bridge of Spies,25.36,2015-10-15,7.234,6795
Baaria,6.538,2009-09-24,7.2,633
Love Me If You Dare,10.995,2003-09-17,7.2,1782
The Roundup,46.253,2022-05-18,7.233,303
Every Day,25.285,2018-02-22,7.2,2197
On Golden Pond,14.289,1981-12-04,7.2,460
Furious 7,99.063,2015-04-01,7.232,10598
Betty Blue,15.625,1986-04-09,7.2,405
And Now for Something Completely Different,8.293,1971-09-28,7.232,514
Crazy About Her,6.35,2021-02-26,7.231,456
Coherence,43.349,2013-09-19,7.231,2891
Batman,44.233,1989-06-21,7.23,7834
The Damned United,17.301,2009-03-27,7.2,626
The Old Oak,24.546,2023-09-29,7.2,316
Black Widow,58.057,2021-01-01,7.228,10182
The Age of Shadows,22.138,2016-09-07,7.228,325
Berserk: The Golden Age Arc I - The Egg of the King,33.469,2012-02-03,7.2,479
Official Secrets,19.409,2019-08-30,7.228,965
The Lego Batman Movie,34.222,2017-02-08,7.227,4979
Irreversible,34.01,2002-05-22,7.2,2884
Boiling Point,14.186,2021-07-05,7.23,538
Only Lovers Left Alive,22.26,2013-12-12,7.227,2182
"Lust, Caution",44.923,2007-09-24,7.2,690
DC League of Super-Pets,32.679,2022-07-27,7.225,1550
Jane Eyre,17.89,2011-03-11,7.2,1449
The Aviator,24.799,2004-12-17,7.225,5301
Collateral,28.865,2004-08-04,7.226,5574
28 Days Later,67.861,2002-10-31,7.225,6698
Life Itself,30.617,2018-09-21,7.224,558
The Stranger,19.795,1946-07-02,7.2,573
Donkey Skin,20.021,1970-12-20,7.2,497
Wonder Woman,63.225,2017-05-30,7.223,19890
Clue,25.244,1985-12-13,7.2,1708
The Diary of Anne Frank,16.492,1959-03-18,7.223,348
Crash,22.724,2005-05-06,7.2,3445
I Am Dragon,36.007,2015-12-03,7.222,372
Collateral Beauty,37.404,2016-12-15,7.223,5353
The Man from the Future,6.928,2011-09-02,7.222,351
The Lady Eve,7.751,1941-02-25,7.2,340
Over the Moon,24.329,2020-10-16,7.22,1296
On Body and Soul,8.904,2017-03-02,7.22,541
Barbie: A Fashion Fairytale,57.943,2010-09-14,7.2,752
The Illusionist,7.022,2010-06-16,7.2,606
North Country,15.184,2005-02-12,7.22,640
C'mon C'mon,27.602,2021-11-19,7.218,671
One Piece Film: GOLD,26.348,2016-07-23,7.2,481
Wadjda,8.284,2012-08-31,7.219,478
Dog Pound,10.037,2010-04-24,7.2,368
Barbie in A Mermaid Tale,22.366,2010-01-25,7.2,759
Detour,19.274,1945-11-30,7.2,354
White Christmas,44.251,1954-10-14,7.2,504
Violent Cop,9.152,1989-08-12,7.219,372
Ghost,40.847,1990-07-13,7.22,5527
Happiest Season,24.236,2020-11-26,7.217,1179
The Town,57.596,2010-09-15,7.218,5024
Open Range,30.527,2003-08-11,7.2,1064
Lady and the Tramp,20.677,2019-11-12,7.217,1544
My Little Pony: The Movie,20.846,2017-10-05,7.2,378
The Intern,62.636,2015-09-23,7.216,6681
Monster,32.494,2003-12-24,7.217,2299
To the Bone,16.606,2017-01-22,7.2,3477
Rudderless,8.247,2014-10-17,7.2,303
Jack and the Cuckoo-Clock Heart,27.629,2014-02-05,7.2,707
Dragon Ball Z: Broly – The Legendary Super Saiyan,59.756,1993-03-06,7.216,908
Henry V,29.264,1989-10-05,7.216,365
Tootsie,17.116,1982-12-17,7.216,1729
Big Trouble in Little China,25.364,1986-05-30,7.216,2994
A Bridge Too Far,16.974,1977-06-15,7.2,809
Nashville,8.131,1975-06-11,7.216,396
Short Cuts,16.553,1993-09-05,7.2,585
Late Night with the Devil,119.567,2024-03-19,7.212,1185
Juice,14.495,1992-01-17,7.2,384
Babette's Feast,23.467,1987-08-11,7.215,395
Trading Places,56.984,1983-06-07,7.2,3246
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",198.85,2023-10-21,7.215,533
Sherlock Holmes,62.94,2009-12-23,7.214,13890
The Princess and the Frog,106.335,2009-12-08,7.214,5591
Woman at War,21.382,2018-05-22,7.2,397
Mask,10.674,1985-03-08,7.2,443
The Hunger Games,33.199,2012-03-12,7.212,21919
Naruto the Movie: Ninja Clash in the Land of Snow,28.588,2004-08-21,7.21,546
3:10 to Yuma,16.884,1957-08-07,7.212,353
3:10 to Yuma,21.651,2007-09-06,7.212,3570
Time to Hunt,12.074,2020-02-22,7.2,317
The Devil All the Time,28.729,2020-09-11,7.2,3327
It's Only the End of the World,14.268,2016-08-26,7.211,1597
Cleveland Abduction,15.632,2015-05-02,7.21,378
Labyrinth of Lies,13.776,2014-11-06,7.211,565
Mean Girls,135.866,2004-04-30,7.2,8771
The Edge of Heaven,16.603,2007-09-27,7.211,306
Escape from Pretoria,19.721,2020-03-06,7.212,1312
Django,30.848,1966-04-06,7.2,893
Peter Pan,86.141,1953-02-05,7.21,5357
[REC],35.391,2007-11-23,7.2,4387
Reign Over Me,10.794,2007-03-22,7.21,1057
Shoot the Piano Player,12.587,1960-11-25,7.2,405
A Shot in the Dark,16.758,1964-06-23,7.21,541
Ferdinand,80.997,2017-12-09,7.2,2836
Children Who Chase Lost Voices,24.271,2011-05-07,7.2,696
Fear and Loathing in Las Vegas,42.367,1998-05-19,7.209,4572
South Park: Post COVID,25.478,2021-11-25,7.2,324
I Am Legend,83.478,2007-12-12,7.208,15687
"Don't Worry, I'm Fine",8.629,2006-09-06,7.208,567
2046,12.781,2004-10-29,7.208,894
Man Bites Dog,13.021,1992-08-20,7.207,907
The Dreamers,41.285,2003-09-01,7.207,2840
The Captain,13.538,2018-02-02,7.2,432
War for the Planet of the Apes,89.435,2017-07-11,7.206,8990
A Touch of Sin,14.884,2013-10-04,7.2,330
Mission: Impossible - Rogue Nation,80.913,2015-07-23,7.206,8792
The Lincoln Lawyer,25.846,2011-03-17,7.206,3239
Invasion of the Body Snatchers,17.907,1978-12-20,7.206,1108
Maria Full of Grace,9.033,2004-01-18,7.206,384
K-PAX,21.504,2001-10-26,7.2,2397
The Awful Truth,7.574,1937-10-21,7.2,303
Smoke,15.183,1995-06-09,7.2,483
In the Mouth of Madness,14.862,1995-02-03,7.206,1654
Evangelion: 3.0 You Can (Not) Redo,20.148,2012-11-17,7.207,817
The Roundup: No Way Out,87.357,2023-05-31,7.204,428
The Monkey King: Reborn,43.853,2021-04-02,7.203,322
In the Name of the Land,6.942,2019-09-25,7.2,311
Doubt,17.459,2008-12-12,7.2,1666
The Outsiders,39.346,1983-03-25,7.2,1352
Resort to Love,18.701,2021-07-29,7.2,409
After the Storm,7.703,2016-05-21,7.2,325
Citizen X,11.527,1995-02-25,7.2,329
Bagdad Cafe,22.998,1987-11-12,7.2,379
Good Time,14.417,2017-08-11,7.202,2810
Naruto Shippuden the Movie: Blood Prison,31.834,2011-07-30,7.201,644
Compagni di scuola,7.003,1988-12-21,7.201,366
What Dreams May Come,25.315,1998-10-02,7.201,2287
The Parent Trap,74.49,1998-07-28,7.2,4151
A Fish Called Wanda,34.752,1988-07-15,7.2,2143
Men in Black,52.186,1997-07-02,7.202,13720
The Cutting Edge,14.768,1992-03-27,7.2,340
Midnight Run,12.607,1988-07-20,7.2,1080
One Piece Film Red,67.018,2022-08-06,7.2,1008
Nomadland,21.94,2021-01-29,7.198,2975
Riley's First Date?,43.915,2015-11-03,7.199,1050
Burlesque,15.152,2010-11-23,7.2,2228
P.S. I Love You,25.176,2007-11-15,7.2,3280
The Kissing Booth,73.76,2018-05-11,7.199,7189
Ovosodo,6.015,1997-09-12,7.198,437
The Unknown Woman,14.42,2006-10-09,7.2,344
Dangerous Liaisons,19.824,1988-12-21,7.2,1146
Sissi: The Fateful Years of an Empress,26.05,1957-12-18,7.2,331
Beverly Hills Cop,32.263,1984-12-05,7.198,4134
Utøya: July 22,62.776,2018-03-09,7.205,371
The Choice,28.468,2016-02-04,7.2,1882
Picnic at Hanging Rock,10.162,1975-09-02,7.196,779
Teen Titans Go! To the Movies,26.928,2018-07-27,7.196,1109
Standing Tall,6.999,2015-05-13,7.196,465
The NeverEnding Story,46.108,1984-04-06,7.196,3991
Marley & Me,17.941,2008-12-25,7.196,4555
Queen Margot,17.892,1994-05-13,7.2,367
Alice in Wonderland,45.133,1951-07-28,7.2,5834
A League of Their Own,23.034,1992-07-01,7.2,1381
Steel Magnolias,25.284,1989-11-15,7.196,652
Mrs. Doubtfire,44.227,1993-11-24,7.195,6087
Shiva Baby,11.495,2021-03-26,7.197,611
Les Misérables,15.987,1998-05-01,7.2,620
Sully,86.618,2016-09-07,7.193,7154
Barbie and the Secret Door,11.645,2014-08-30,7.2,404
Joe: The Busybody,9.184,1971-08-31,7.2,303
The Player,11.393,1992-04-03,7.193,806
The Talented Mr. Ripley,24.191,1999-12-25,7.194,3731
42,18.243,2013-04-12,7.2,1790
Inside Llewyn Davis,17.825,2013-10-18,7.192,2660
Toy Story of Terror!,1.009,2013-10-16,7.2,934
Marathon Man,21.508,1976-10-08,7.2,1068
Thank You for Smoking,15.959,2005-09-09,7.191,2163
Limitless,42.084,2011-03-17,7.19,10585
The Karate Kid,62.761,1984-06-22,7.19,4160
A Cinderella Story: If the Shoe Fits,19.174,2016-08-02,7.2,830
Little Boy,20.964,2015-04-23,7.2,518
The Maze Runner,190.298,2014-09-10,7.189,16992
The Secret Life of Walter Mitty,50.697,2013-12-18,7.2,7569
Pat Garrett & Billy the Kid,13.033,1973-05-23,7.2,397
The Fortune Cookie,15.212,1966-10-19,7.2,301
300,49.607,2007-03-07,7.189,13665
Bye Bye Morons,15.284,2020-10-21,7.188,857
Murder by Death,10.209,1976-06-23,7.188,806
Fear Street: 1978,16.841,2021-07-08,7.187,1916
Black Sabbath,17.652,1963-08-17,7.187,427
Little Manhattan,13.634,2005-09-26,7.2,707
Romanzo Criminale,5.09,2005-09-30,7.187,646
Chak De! India,9.202,2007-08-09,7.2,323
Sweeney Todd: The Demon Barber of Fleet Street,31.11,2007-12-20,7.187,5863
Clifford the Big Red Dog,38.508,2021-11-10,7.186,1724
5 to 7,6.851,2014-04-19,7.2,371
The Muppet Movie,12.161,1979-06-22,7.2,606
A Simple Plan,19.712,1998-12-11,7.2,906
Pusher III,9.17,2005-08-22,7.2,357
Set It Off,15.342,1996-11-06,7.185,343
The Bucket List,19.091,2007-12-25,7.185,3754
Tenet,44.63,2020-08-22,7.185,9857
Nappily Ever After,8.89,2018-09-21,7.184,808
Bound,27.615,1996-09-13,7.2,930
Lars and the Real Girl,24.226,2007-10-12,7.2,1806
Ballerina,39.282,2016-12-14,7.2,1863
Invictus,19.653,2009-12-11,7.183,4082
Belzebuth,11.655,2019-01-11,7.2,344
The Sunset Limited,11.304,2011-02-12,7.182,429
The Bird with the Crystal Plumage,18.707,1970-02-27,7.2,754
The Young Victoria,14.634,2009-03-04,7.182,1003
Identity,40.741,2003-04-25,7.2,3854
Sleepy Hollow,31.239,1999-11-19,7.182,6763
Breakfast on Pluto,8.245,2005-11-16,7.182,382
Batman: Hush,18.388,2019-07-19,7.181,872
Ralph Breaks the Internet,42.947,2018-11-20,7.18,7545
Shin Godzilla,30.155,2016-07-29,7.181,1296
The Animatrix,28.182,2003-05-09,7.2,1559
Operation Petticoat,10.68,1959-12-05,7.2,351
The Patriot,47.613,2000-06-28,7.181,3908
The Menu,55.606,2022-11-17,7.18,4912
Batman vs. Robin,12.939,2015-04-03,7.18,904
Melancholia,36.697,2011-05-26,7.181,3477
Last Holiday,40.175,2006-01-13,7.179,738
Barbie and the Magic of Pegasus,33.49,2005-10-04,7.183,714
Watership Down,24.35,1978-10-14,7.2,619
Downton Abbey: A New Era,19.84,2022-04-27,7.2,478
Nowhere Boy,12.497,2009-12-25,7.2,804
One Hundred and One Dalmatians,52.334,1961-01-25,7.178,6252
Professor Marston and the Wonder Women,19.283,2017-10-13,7.2,858
Vera Drake,8.516,2004-10-22,7.2,355
Arizona Dream,10.883,1993-01-06,7.177,670
Babel,22.902,2006-10-26,7.177,3720
No,6.296,2012-08-09,7.2,426
Big,25.147,1988-06-03,7.177,3608
The Man Who Knew Infinity,53.794,2016-04-08,7.175,1397
Barbara,5.217,2012-03-08,7.2,317
Hugo,52.777,2011-11-22,7.175,7160
50/50,13.178,2011-09-30,7.175,3753
A History of Violence,20.461,2005-09-23,7.175,3235
Wonder Woman,11.585,2009-03-03,7.2,551
Pusher II,10.162,2004-12-25,7.2,442
After We Collided,60.248,2020-09-02,7.174,5293
Never Rarely Sometimes Always,10.296,2020-03-13,7.2,512
Girl,10.49,2018-09-18,7.172,722
Dragons: Gift of the Night Fury,29.937,2011-11-15,7.172,375
Pom Poko,22.44,1994-07-16,7.172,1055
Diaz - Don't Clean Up This Blood,4.384,2012-04-13,7.2,421
Carnage,13.162,2011-09-16,7.171,2902
Village of the Damned,12.68,1960-06-16,7.171,430
Thief,14.669,1981-03-27,7.174,683
Crimson Tide,23.898,1995-05-12,7.171,1733
Kiss Kiss Bang Bang,19.072,2005-09-14,7.2,2658
Swan Song,14.161,2021-12-17,7.176,492
Eddie the Eagle,13.485,2016-02-25,7.2,2097
Project A,30.698,1983-12-22,7.2,463
Secondhand Lions,16.224,2003-09-19,7.2,757
The English Patient,17.547,1996-11-14,7.2,2174
Broker,19.102,2022-06-08,7.2,447
A Coffee in Berlin,5.904,2012-11-01,7.2,323
Rust and Bone,11.956,2012-05-17,7.2,1355
In America,10.376,2003-10-31,7.169,337
Out of Africa,18.091,1985-12-20,7.169,1364
Mirai,21.48,2018-06-16,7.168,775
"Ciao, Professore!",4.698,1992-10-09,7.2,385
Broadway Danny Rose,5.576,1984-01-27,7.2,453
La Grande Bouffe,15.551,1973-05-16,7.168,499
Elizabeth,35.158,1998-09-13,7.2,1369
Bedevilled,10.868,2010-08-19,7.167,407
Gravity,31.461,2013-10-03,7.167,15275
Murder in the First,10.685,1995-01-20,7.2,560
Sissi: The Young Empress,31.951,1956-12-01,7.2,339
A Little Something Extra,22.219,2024-04-18,7.16,594
The Broken Hearts Gallery,11.939,2020-09-11,7.2,313
Blade Runner: Black Out 2022,17.21,2017-09-26,7.166,395
The Flight of the Phoenix,14.043,1965-12-15,7.2,316
Fall,83.266,2022-08-11,7.166,3916
Eighth Grade,13.659,2018-01-19,7.165,1513
Seven Brides for Seven Brothers,14.237,1954-07-22,7.165,527
"The Good, the Bad, the Weird",9.47,2008-07-16,7.2,719
Pooh's Grand Adventure: The Search for Christopher Robin,13.704,1997-08-05,7.165,357
Wall Street,37.526,1987-12-10,7.165,2029
Seven Years in Tibet,19.372,1997-09-12,7.164,2811
T-34,16.314,2018-12-27,7.2,845
Kiss Me Deadly,15.254,1955-04-28,7.2,366
Matilda,94.371,1996-08-02,7.2,4420
The Last Castle,18.272,2001-10-19,7.163,1252
Midsommar,54.26,2019-07-03,7.2,7100
The Purity of Vengeance,14.335,2018-10-04,7.162,479
Heidi,36.236,2015-12-10,7.2,391
Trumbo,19.467,2015-10-27,7.162,1559
Funny Girl,9.823,1968-09-19,7.162,395
Troy,101.307,2004-05-13,7.162,10146
The Healer,15.932,2017-02-17,7.2,509
The Lucky One,30.524,2012-04-19,7.2,3640
Cadillac Records,8.306,2008-12-05,7.161,428
Point Break,40.398,1991-07-12,7.162,3543
Peter Pan,44.184,2003-12-18,7.2,2601
American Splendor,17.403,2003-08-15,7.16,468
The China Syndrome,7.81,1979-03-16,7.2,453
Yannick,11.93,2023-08-02,7.159,553
BlackBerry,27.899,2023-02-13,7.159,566
Loro 2,5.035,2018-05-10,7.2,371
The Goldfinch,28.314,2019-09-12,7.2,866
What Happened to Monday,35.808,2017-08-18,7.159,6026
The Edge of Seventeen,20.167,2016-11-18,7.159,4027
Jason and the Argonauts,19.711,1963-06-19,7.159,600
The Darjeeling Limited,44.79,2007-09-07,7.159,3540
Last Night of Amore,12.438,2023-03-09,7.158,468
By the Grace of God,8.725,2019-02-20,7.158,553
In the Heights,11.158,2021-06-10,7.158,709
Belle,13.656,2013-05-01,7.2,673
House of Sand and Fog,12.683,2003-12-19,7.158,757
Master and Commander: The Far Side of the World,26.391,2003-11-14,7.158,3143
The Upside,26.052,2019-01-10,7.157,1270
Felon,18.3,2008-07-17,7.2,878
The Return of the Living Dead,24.923,1985-04-25,7.2,2044
The Edukators,14.848,2004-10-25,7.157,334
Cha Cha Real Smooth,20.225,2022-06-17,7.2,318
The King,21.985,2019-10-11,7.157,3223
Uncut Gems,30.2,2019-08-30,7.155,4722
Boyka: Undisputed IV,107.901,2016-08-01,7.156,1311
Tora! Tora! Tora!,18.701,1970-01-26,7.2,531
Dracula,16.3,1931-02-12,7.2,1204
Talk to Me,76.993,2023-07-26,7.155,2976
Brimstone,15.916,2016-03-12,7.2,1126
Max,19.554,2015-06-26,7.155,817
The Proposal,72.771,2009-06-02,7.155,6839
The American Friend,8.396,1977-06-24,7.155,362
Friday,49.522,1995-04-26,7.2,1801
Pale Rider,24.952,1985-06-28,7.2,1060
Bullitt,17.248,1968-10-17,7.155,1130
Death on the Nile,23.866,1978-09-29,7.2,790
Sleeping Dogs,81.066,2024-03-21,7.153,308
Once Upon a Time in China,21.34,1991-08-15,7.153,417
The Driver,26.65,1978-06-08,7.2,437
Polytechnique,17.791,2009-02-06,7.2,624
The Glass Castle,27.8,2017-08-11,7.15,817
Broken Embraces,10.162,2009-03-18,7.2,651
Munich,20.343,2005-12-23,7.1,2636
Son of Saul,11.122,2015-06-11,7.1,1060
Monsieur Lazhar,15.765,2011-09-10,7.149,313
Superman/Batman: Apocalypse,33.417,2010-09-28,7.149,694
The 12th Man,14.148,2017-12-25,7.148,531
The Professor and the Madman,11.281,2019-03-07,7.148,1158
The Wrong Man,12.482,1956-12-22,7.148,541
Vanishing Point,16.314,1971-01-15,7.148,449
The Caine Mutiny,11.869,1954-06-24,7.1,328
Stranger Than Paradise,13.0,1984-10-01,7.148,530
Groot Takes a Bath,26.197,2022-08-10,7.1,341
Father Stu,18.861,2022-04-13,7.146,612
Scooby-Doo! and the Legend of the Vampire,14.805,2003-03-04,7.1,315
Following,14.21,1999-05-06,7.1,1590
The Fox and the Hound,38.003,1981-07-10,7.147,3223
Stepmom,20.701,1998-12-25,7.146,1419
The Christmas Chronicles,180.612,2018-11-22,7.145,2163
Aloha Scooby-Doo!,11.747,2005-02-08,7.145,431
We Were Soldiers,33.661,2002-03-01,7.1,2039
Straw Dogs,10.743,1971-11-25,7.1,935
Poltergeist,17.707,1982-06-04,7.144,2998
Across the Universe,14.554,2007-09-14,7.1,1328
Beetlejuice Beetlejuice,313.358,2024-09-04,7.149,1952
Doctor Sleep,29.762,2019-10-30,7.143,4406
A Hidden Life,13.06,2019-08-27,7.143,682
Yellow Submarine,13.552,1968-07-17,7.1,486
Deadpool: No Good Deed,29.201,2017-03-03,7.1,500
Molly's Game,21.79,2017-12-07,7.142,3685
La Chèvre,24.181,1981-12-09,7.1,648
The Land Before Time,26.239,1988-11-18,7.1,2518
Unbreakable,37.373,2000-11-22,7.142,9243
Final Fantasy VII: Advent Children,22.83,2005-07-14,7.1,1140
Godzilla x Kong: The New Empire,260.36,2024-03-27,7.1,3853
The Guardians of the Galaxy Holiday Special,29.714,2022-11-24,7.139,2001
My King,8.16,2015-10-21,7.141,774
Fathers and Daughters,13.337,2015-10-01,7.141,967
The Way Way Back,13.843,2013-06-06,7.1,1764
Red Cliff,16.507,2008-07-10,7.14,805
New Police Story,20.379,2004-09-23,7.1,714
Candy,7.679,2006-05-25,7.141,599
Anthropoid,46.374,2016-08-12,7.14,1000
Sapphire Blue,27.544,2014-08-14,7.14,983
Descendants,74.241,2015-07-31,7.14,2347
In Your Eyes,10.716,2014-04-20,7.14,680
Silver Linings Playbook,26.863,2012-11-16,7.14,11937
Battlestar Galactica: Razor,7.806,2007-11-12,7.1,397
Sherlock Holmes: A Game of Shadows,43.256,2011-11-22,7.14,10273
Bad Boys for Life,67.744,2020-01-15,7.14,8251
Murder on the Orient Express,27.381,1974-11-22,7.14,1406
Speed,33.565,1994-06-09,7.14,6146
Star Trek IV: The Voyage Home,25.664,1986-11-26,7.1,1477
Superman: Red Son,13.537,2020-02-24,7.139,807
The House That Jack Built,26.047,2018-07-05,7.1,2738
The Guardian,31.741,2006-09-28,7.14,1512
8 Mile,58.387,2002-11-08,7.139,7242
The Burial,21.78,2023-10-06,7.138,477
The Old Guard,45.405,2020-07-10,7.137,4141
Tangled Ever After,34.45,2012-01-13,7.1,1041
McCabe & Mrs. Miller,21.502,1971-06-24,7.1,391
Quills,18.292,2000-11-22,7.1,638
Casualties of War,20.66,1989-08-18,7.141,879
Lolita,41.338,1997-09-27,7.1,1782
Downton Abbey,15.128,2019-09-12,7.1,1120
As the Gods Will,13.711,2014-11-15,7.137,498
Sophie Scholl: The Final Days,10.091,2005-02-13,7.1,416
Reality,8.006,2012-05-04,7.136,319
Birdy,8.601,1984-12-14,7.1,509
The Alamo,14.844,1960-10-23,7.1,341
Marnie,10.038,1964-07-17,7.1,1107
The Ballad of Buster Scruggs,39.199,2018-11-09,7.135,4008
Queen & Slim,13.209,2019-11-27,7.1,689
Brigsby Bear,7.778,2017-07-27,7.135,374
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",184.459,2005-12-07,7.135,10618
Petite Maman,10.084,2021-06-02,7.1,376
Barbie: The Princess & The Popstar,20.919,2012-09-13,7.1,592
Superman,92.304,1978-12-14,7.135,3808
Greenland,39.125,2020-07-29,7.133,4507
The Founder,33.158,2016-11-24,7.133,4915
Death and the Maiden,16.716,1994-05-04,7.1,492
After the Wedding,30.012,2006-02-24,7.133,424
Midway,56.617,2019-11-06,7.133,2466
Audition,21.312,2000-03-03,7.132,1537
The Doors,29.329,1991-03-01,7.132,1421
This Boy's Life,11.3,1993-04-09,7.132,979
The Transformers: The Movie,36.936,1986-08-08,7.1,511
Angel Heart,39.654,1987-03-06,7.1,1519
The Connection,19.464,2014-12-03,7.133,840
OSS 117: Lost in Rio,13.618,2009-04-15,7.131,1426
Minnal Murali,12.455,2021-12-16,7.1,306
The Place,10.749,2017-11-04,7.1,1190
This Beautiful Fantastic,20.517,2016-10-20,7.129,322
Punch-Drunk Love,28.666,2002-10-11,7.13,2318
Partysaurus Rex,18.285,2012-09-14,7.128,479
Silence,23.697,2016-12-22,7.128,3032
The Rock,33.358,1996-06-07,7.128,4652
Love Tactics,12.798,2022-02-11,7.1,306
Fun Is Beautiful,8.061,1980-01-19,7.127,394
The Visitor,9.245,2008-02-21,7.1,450
The Protector,32.315,2005-08-11,7.1,851
Batman vs Teenage Mutant Ninja Turtles,14.373,2019-03-31,7.126,488
The Master,17.129,2012-09-14,7.127,2932
Dragon Ball Z: Bojack Unbound,37.941,1993-07-10,7.126,567
The Long Good Friday,11.181,1980-11-01,7.126,354
The Visitors,24.275,1993-01-27,7.126,1896
Show Me Love,12.972,1998-10-23,7.1,525
Creation of the Gods I: Kingdom of Storms,82.222,2023-07-15,7.1,368
Columbus,10.489,2017-08-04,7.1,389
Kick-Ass,30.548,2010-03-26,7.124,11597
United 93,16.204,2006-04-28,7.1,1471
Ong-Bak,33.934,2003-01-21,7.1,1672
Chef,29.897,2014-05-08,7.124,3265
The Spanish Apartment,8.982,2002-06-19,7.123,1124
High Fidelity,18.808,2000-03-17,7.123,1963
Creed III,69.713,2023-03-01,7.1,2522
Devotion,29.379,2022-11-23,7.122,690
Heartbeats,6.636,2010-09-29,7.1,1003
